EndUse,Run name,FuelType,0
Cooling,k_c_1927_dg4_ext,Electricity,339.75
Cooling,k_c_1927_dg4_ext,Natural Gas,0
Cooling,k_d_1927_dg5_ext,Electricity,367.22
Cooling,k_d_1927_dg5_ext,Natural Gas,0
Cooling,k_e_1927_dg6_ext,Electricity,399.81
Cooling,k_e_1927_dg6_ext,Natural Gas,0
Cooling,k_f_1927_tg4_ext,Electricity,374.39
Cooling,k_f_1927_tg4_ext,Natural Gas,0
Cooling,k_g_1927_tg5_ext,Electricity,381.94
Cooling,k_g_1927_tg5_ext,Natural Gas,0
Cooling,k_h_1927_tg6_ext,Electricity,433.63
Cooling,k_h_1927_tg6_ext,Natural Gas,0
Cooling,l_a_2126_dg_init_intgain,Electricity,564.25
Cooling,l_a_2126_dg_init_intgain,Natural Gas,0
Cooling,l_b_2126_dg0_intgain,Electricity,645.74
Cooling,l_b_2126_dg0_intgain,Natural Gas,0
Cooling,l_c_2126_dg4_intgain,Electricity,572.8
Cooling,l_c_2126_dg4_intgain,Natural Gas,0
Cooling,l_d_2126_dg5_intgain,Electricity,628.56
Cooling,l_d_2126_dg5_intgain,Natural Gas,0
Cooling,l_e_2126_dg6_intgain,Electricity,688.91
Cooling,l_e_2126_dg6_intgain,Natural Gas,0
Cooling,l_f_2126_tg4_intgain,Electricity,620.73
Cooling,l_f_2126_tg4_intgain,Natural Gas,0
Cooling,l_g_2126_tg5_intgain,Electricity,636.02
Cooling,l_g_2126_tg5_intgain,Natural Gas,0
Cooling,l_h_2126_tg6_intgain,Electricity,737.01
Cooling,l_h_2126_tg6_intgain,Natural Gas,0
Cooling,m_a_2126_dg_init_intgain,Electricity,400.06
Cooling,m_a_2126_dg_init_intgain,Natural Gas,0
Cooling,m_b_2126_dg0_intgain,Electricity,450.94
Cooling,m_b_2126_dg0_intgain,Natural Gas,0
Cooling,m_c_2126_dg4_intgain,Electricity,358.16
Cooling,m_c_2126_dg4_intgain,Natural Gas,0
Cooling,m_d_2126_dg5_intgain,Electricity,398.87
Cooling,m_d_2126_dg5_intgain,Natural Gas,0
Cooling,m_e_2126_dg6_intgain,Electricity,441.95
Cooling,m_e_2126_dg6_intgain,Natural Gas,0
Cooling,m_f_2126_tg4_intgain,Electricity,375.86
Cooling,m_f_2126_tg4_intgain,Natural Gas,0
Cooling,m_g_2126_tg5_intgain,Electricity,387.19
Cooling,m_g_2126_tg5_intgain,Natural Gas,0
Cooling,m_h_2126_tg6_intgain,Electricity,460.43
Cooling,m_h_2126_tg6_intgain,Natural Gas,0
Cooling,n_a_2126_dg_init_cc,Electricity,651.28
Cooling,n_a_2126_dg_init_cc,Natural Gas,0
Cooling,n_b_2126_dg0_cc,Electricity,734.96
Cooling,n_b_2126_dg0_cc,Natural Gas,0
Cooling,n_c_2126_dg4_cc,Electricity,601.69
Cooling,n_c_2126_dg4_cc,Natural Gas,0
Cooling,n_d_2126_dg5_cc,Electricity,661.27
Cooling,n_d_2126_dg5_cc,Natural Gas,0
Cooling,n_e_2126_dg6_cc,Electricity,723.28
Cooling,n_e_2126_dg6_cc,Natural Gas,0
Cooling,n_f_2126_tg4_cc,Electricity,628.04
Cooling,n_f_2126_tg4_cc,Natural Gas,0
Cooling,n_g_2126_tg5_cc,Electricity,644.65
Cooling,n_g_2126_tg5_cc,Natural Gas,0
Cooling,n_h_2126_tg6_cc,Electricity,749.66
Cooling,n_h_2126_tg6_cc,Natural Gas,0
Cooling,o_a_2126_dg_init_cc,Electricity,803.03
Cooling,o_a_2126_dg_init_cc,Natural Gas,0
Cooling,o_b_2126_dg0_cc,Electricity,896.6
Cooling,o_b_2126_dg0_cc,Natural Gas,0
Cooling,o_c_2126_dg4_cc,Electricity,729.43
Cooling,o_c_2126_dg4_cc,Natural Gas,0
Cooling,o_d_2126_dg5_cc,Electricity,797.9
Cooling,o_d_2126_dg5_cc,Natural Gas,0
Cooling,o_e_2126_dg6_cc,Electricity,868.21
Cooling,o_e_2126_dg6_cc,Natural Gas,0
Cooling,o_f_2126_tg4_cc,Electricity,752.71
Cooling,o_f_2126_tg4_cc,Natural Gas,0
Cooling,o_g_2126_tg5_cc,Electricity,771.6
Cooling,o_g_2126_tg5_cc,Natural Gas,0
Cooling,o_h_2126_tg6_cc,Electricity,891.75
Cooling,o_h_2126_tg6_cc,Natural Gas,0
Cooling,p_a_2124_dg_init_cc,Electricity,887.51
Cooling,p_a_2124_dg_init_cc,Natural Gas,0
Cooling,p_b_2124_dg0_cc,Electricity,1165.5
Cooling,p_b_2124_dg0_cc,Natural Gas,0
Cooling,p_c_2124_dg4_cc,Electricity,734.74
Cooling,p_c_2124_dg4_cc,Natural Gas,0
Cooling,p_d_2124_dg5_cc,Electricity,833.76
Cooling,p_d_2124_dg5_cc,Natural Gas,0
Cooling,p_e_2124_dg6_cc,Electricity,953.45
Cooling,p_e_2124_dg6_cc,Natural Gas,0
Cooling,p_f_2124_tg4_cc,Electricity,767.31
Cooling,p_f_2124_tg4_cc,Natural Gas,0
Cooling,p_g_2124_tg5_cc,Electricity,791.49
Cooling,p_g_2124_tg5_cc,Natural Gas,0
Cooling,p_h_2124_tg6_cc,Electricity,967.62
Cooling,p_h_2124_tg6_cc,Natural Gas,0
Fans,a_a_2126_dg_init,Electricity,292.6
Fans,a_a_2126_dg_init,Natural Gas,0
Fans,a_b_2126_dg0,Electricity,329.72
Fans,a_b_2126_dg0,Natural Gas,0
Fans,a_c_2126_sg1,Electricity,325.97
Fans,a_c_2126_sg1,Natural Gas,0
Fans,a_d_2126_sg2,Electricity,279.79
Fans,a_d_2126_sg2,Natural Gas,0
Fans,a_e_2126_dg1,Electricity,391.76
Fans,a_e_2126_dg1,Natural Gas,0
Fans,a_f_2126_dg2,Electricity,341.89
Fans,a_f_2126_dg2,Natural Gas,0
Fans,a_g_2126_dg3,Electricity,348.57
Fans,a_g_2126_dg3,Natural Gas,0
Fans,a_h_2126_dg4,Electricity,301.69
Fans,a_h_2126_dg4,Natural Gas,0
Fans,a_i_2126_dg5,Electricity,320.02
Fans,a_i_2126_dg5,Natural Gas,0
Fans,a_j_2126_dg6,Electricity,341.21
Fans,a_j_2126_dg6,Natural Gas,0
Fans,a_k_2126_tg1,Electricity,413.19
Fans,a_k_2126_tg1,Natural Gas,0
Fans,a_l_2126_tg2,Electricity,360.43
Fans,a_l_2126_tg2,Natural Gas,0
Fans,a_m_2126_tg3,Electricity,355.3
Fans,a_m_2126_tg3,Natural Gas,0
Fans,a_n_2126_tg4,Electricity,323.07
Fans,a_n_2126_tg4,Natural Gas,0
Fans,a_o_2126_tg5,Electricity,328.07
Fans,a_o_2126_tg5,Natural Gas,0
Fans,a_p_2126_tg6,Electricity,360.83
Fans,a_p_2126_tg6,Natural Gas,0
Fans,b_a_2126_dg_init_int,Electricity,286.14
