,"market for curtain wall, double glazing, two coatings, high perf alu frame","market for curtain wall, triple glazing, two coatings, krypton, high perf alu frame","market for curtain wall, double glazing, coated, high perf alu frame","market for curtain wall, triple glazing, coated, high perf alu frame","market for curtain wall, double glazing, low perf alu frame","market for curtain wall, triple glazing, two coatings, high perf alu frame","market for curtain wall, triple glazing, two coatings, xenon, high perf alu frame","market for curtain wall, vacuum double glazing, coated, high perf alu frame","market for curtain wall, single glazing, coated, low perf alu frame","market for curtain wall, smart glazing, high perf alu frame","market for curtain wall, double glazing, coated, krypton, high perf alu frame","market for curtain wall, single glazing, low perf alu frame","market for curtain wall, ccf","market for curtain wall, double skin facade"
112,161.94517610725586,197.7238655585631,161.14161723490383,186.77063712831549,156.54785673058066,186.54455835591827,223.77249155344524,162.7423187073684,131.0247964802263,766.5411648452491,166.73127047651266,130.21792416222243,432.98808222234624,285.47145432264983
113,175.67258193771897,212.37024298015206,174.81917568285593,201.51589206676292,169.90982253057578,201.31439790830467,242.77088378674918,176.35764104055826,143.32743754799557,786.5093039845873,180.34709846117553,142.4705134081739,464.22626609913124,309.3511609830794
114,187.98028930663995,223.31877299380022,186.99820506576805,214.9294355651363,181.32160348389317,214.87383503598866,269.08166410929914,188.85843442881304,153.39978790091422,804.041362984414,191.22067404023562,152.41365343792637,479.0931074902546,333.06093999001064
115,173.01320330771688,209.83165927174488,172.12785443651003,198.6324476154578,167.83635732591884,198.5182579939095,241.01104627026052,174.60325962566546,141.47314668209378,933.3959286194316,177.78455399638452,140.58414865603208,458.0252030778047,306.69904089857084
116,189.3621362818039,228.48684177154064,188.36675042186968,215.76722006253272,182.98073242600364,215.83435916806366,244.50829933483305,190.3292125267642,156.25812933178437,721.8168339172223,194.69299260873677,155.2586412069694,495.5311298513152,338.0657855161507
117,180.22613258401373,216.2191666623946,179.41792940841938,206.98027738278145,174.82619032166642,206.76932035196896,262.0255441945347,181.40098173024242,147.68019402153084,735.2205732968285,184.1428526286299,146.86865890094413,487.8330775533687,320.85400137430025
118,185.14379374623138,219.33394504543017,184.18200112570005,210.19450359669176,179.76797906378002,209.95470910915878,234.97660860527597,185.90707408101935,153.48390229532905,1107.4758987595492,188.87161955554308,152.51814399296356,453.30423514164994,331.3256611099582
119,176.95523426672074,211.5121394593771,176.17409027913462,202.8277018958805,171.73056818038404,202.17447746964535,239.39092196656952,178.03561281648823,144.67807047331405,930.6782927049512,180.84292221738338,143.89370597997342,446.68263633691583,313.9732407188652
120,169.5740170090383,206.27755919458664,168.75444034044025,194.51635021895913,163.4001405572311,194.19695216548286,249.56944641174482,169.90838551532158,138.00337994624255,856.4890998065486,174.79474592255758,137.18042682492126,450.43236756292157,299.86056030605323
121,171.54728422800193,205.94041269588462,170.6812550531623,197.36285154362108,165.6262408537977,197.08191657160248,254.47583949736455,172.8423710198596,139.12307080642776,916.1006566803871,175.11050376826057,138.2534698259142,455.37408441498167,303.853687469923
122,176.8445908570014,214.29465980577513,176.010310238862,202.95055233397315,170.9374644145822,202.28945345556156,251.42148910790215,178.45622926422763,143.9222033639683,1129.7576932947302,182.01291328588312,143.08448330750088,458.98778874291213,312.91708772145915
123,178.40289444015784,214.72351151532752,177.45578730697088,205.11998121037365,172.2211765381246,204.81330307765083,283.63486483194333,179.36341557365463,144.95016613170858,882.4098488303407,182.410892409362,143.99915418488968,483.7784663604906,313.6865374657017
